/home/bigbox/Projects/tokentango/.venv/lib/python3.13/site-packages/torch/nn/modules/transformer.py:382: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
TokenTango
CUDA available: True
Number of GPUs: 1
GPU 0: NVIDIA GeForce GTX 1080
  Memory: 8.51 GB
  CUDA Capability: 6.1
[DATA LOADING] Starting data load...
Loading existing tokenizer from data/bpe_tokenizer.json
new_labels
reliable    330551
fake        166115
Name: count, dtype: int64
0.5
[DATA LOADING] Completed in 758.00s
[DATA LOADING] train_data source_tokens shape=torch.Size([265784, 300]), test_data source_tokens shape=torch.Size([66446, 300])
[STAGE 1] MODEL_CHECKPOINT_PATH=data/checkpoints/checkpoint_sleepy-binturong-7b9979_2026-02-27_22-19-20_91.00.pth: Loading specific checkpoint...
[STAGE 2] Loaded checkpoint from epoch 4 in 0.03s
[STAGE 2] Checkpoint accuracy: 91.00%
[STAGE 2] Training fraction: 0.6
[STAGE 2] Previous run name: sleepy-binturong-7b9979
[STAGE 2] Continuing training with new run name: sleepy-binturong-7b9979-witty-alpaca-3217c3
[TRAIN] Starting training run: sleepy-binturong-7b9979-witty-alpaca-3217c3
[TRAIN] Training set fraction: 0.8
[TRAIN] Optimizer: Adam, MLM: False
Epoch 1/10 [ 100/8305] | TA: 89.96% | Saved checkpoint | ETA: 3:18:33
Epoch 1/10 [ 200/8305] | TA: 90.68% | Saved checkpoint | ETA: 3:16:54
Epoch 1/10 [ 300/8305] | TA: 88.67% | Saved checkpoint | ETA: 3:16:19
Epoch 1/10 [ 400/8305] | TA: 90.50% | Saved checkpoint | ETA: 3:15:59
Epoch 1/10 [ 500/8305] | TA: 91.16% | Saved checkpoint | ETA: 3:15:54
Epoch 1/10 [ 600/8305] | TA: 90.14% | Saved checkpoint | ETA: 3:15:35
Epoch 1/10 [ 700/8305] | TA: 91.23% | Saved checkpoint | ETA: 3:15:14
Epoch 1/10 [ 800/8305] | TA: 90.70% | Saved checkpoint | ETA: 3:14:57
Epoch 1/10 [ 900/8305] | TA: 90.37% | Saved checkpoint | ETA: 3:14:42
Epoch 1/10 [1000/8305] | TA: 91.01% | Saved checkpoint | ETA: 3:14:34
Epoch 1/10 [1100/8305] | TA: 90.46% | Saved checkpoint | ETA: 3:14:23
Epoch 1/10 [1200/8305] | TA: 90.61% | Saved checkpoint | ETA: 3:14:17
Epoch 1/10 [1300/8305] | TA: 90.77% | Saved checkpoint | ETA: 3:14:07
Epoch 1/10 [1400/8305] | TA: 90.65% | Saved checkpoint | ETA: 3:13:55
Epoch 1/10 [1500/8305] | TA: 90.76% | Saved checkpoint | ETA: 3:13:45
Epoch 1/10 [1600/8305] | TA: 90.58% | Saved checkpoint | ETA: 3:13:25
Epoch 1/10 [1700/8305] | TA: 90.58% | Saved checkpoint | ETA: 3:13:08
Epoch 1/10 [1800/8305] | TA: 90.11% | Saved checkpoint | ETA: 3:12:52
Epoch 1/10 [1900/8305] | TA: 90.34% | Saved checkpoint | ETA: 3:12:31
Epoch 1/10 [2000/8305] | TA: 90.82% | Saved checkpoint | ETA: 3:12:15
Epoch 1/10 [2100/8305] | TA: 89.69% | Saved checkpoint | ETA: 3:12:04
Epoch 1/10 [2200/8305] | TA: 91.21% | Saved checkpoint | ETA: 3:11:50
