/home/bigbox/Projects/tokentango/.venv/lib/python3.13/site-packages/torch/nn/modules/transformer.py:382: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
TokenTango
CUDA available: True
Number of GPUs: 1
GPU 0: NVIDIA GeForce GTX 1080
  Memory: 8.51 GB
  CUDA Capability: 6.1
[DATA LOADING] Starting data load...
Loading existing tokenizer from data/bpe_tokenizer.json
new_labels
reliable    330551
fake        166115
Name: count, dtype: int64
0.5
[DATA LOADING] Completed in 758.89s
[DATA LOADING] train_data source_tokens shape=torch.Size([265784, 300]), test_data source_tokens shape=torch.Size([66446, 300])
[STAGE 1] MODEL_CHECKPOINT_PATH=data/checkpoints/checkpoint_zany-tapir-e3a1f1_2026-03-06_19-10-35_93.02.pth: Loading specific checkpoint...
[STAGE 2] Loaded checkpoint from epoch 9 in 0.06s
[STAGE 2] Checkpoint accuracy: 93.02%
[STAGE 2] Training fraction: 0.8
[STAGE 2] Previous run name: zany-tapir-e3a1f1
[STAGE 2] Continuing training with new run name: zany-tapir-e3a1f1-witty-capybara-79c070
[TRAIN] Starting training run: zany-tapir-e3a1f1-witty-capybara-79c070
[TRAIN] Training set fraction: 0.8
[TRAIN] Optimizer: Adam, MLM: True
Epoch 1/10 [ 100/8305] | TA: 86.60% | Saved checkpoint | ETA: 6:49:51
Epoch 1/10 [ 200/8305] | TA: 87.03% | Saved checkpoint | ETA: 6:48:55
Epoch 1/10 [ 300/8305] | TA: 86.74% | Saved checkpoint | ETA: 6:48:07
Epoch 1/10 [ 400/8305] | TA: 87.57% | Saved checkpoint | ETA: 6:47:31
Epoch 1/10 [ 500/8305] | TA: 88.09% | Saved checkpoint | ETA: 6:47:06
Epoch 1/10 [ 600/8305] | TA: 87.28% | Saved checkpoint | ETA: 6:46:36
Epoch 1/10 [ 700/8305] | TA: 88.46% | Saved checkpoint | ETA: 6:46:07
Epoch 1/10 [ 800/8305] | TA: 89.01% | Saved checkpoint | ETA: 6:45:30
Epoch 1/10 [ 900/8305] | TA: 88.83% | Saved checkpoint | ETA: 6:44:54
Epoch 1/10 [1000/8305] | TA: 88.98% | Saved checkpoint | ETA: 6:44:28
Epoch 1/10 [1100/8305] | TA: 90.64% | Saved checkpoint | ETA: 6:44:03
Epoch 1/10 [1200/8305] | TA: 90.59% | Saved checkpoint | ETA: 6:43:33
Epoch 1/10 [1300/8305] | TA: 90.88% | Saved checkpoint | ETA: 6:43:00
Epoch 1/10 [1400/8305] | TA: 91.12% | Saved checkpoint | ETA: 6:42:31
Epoch 1/10 [1500/8305] | TA: 91.20% | Saved checkpoint | ETA: 6:42:01
Epoch 1/10 [1600/8305] | TA: 90.32% | Saved checkpoint | ETA: 6:41:32
Epoch 1/10 [1700/8305] | TA: 90.94% | Saved checkpoint | ETA: 6:41:03
Epoch 1/10 [1800/8305] | TA: 91.16% | Saved checkpoint | ETA: 6:40:37
Epoch 1/10 [1900/8305] | TA: 91.20% | Saved checkpoint | ETA: 6:40:11
Epoch 1/10 [2000/8305] | TA: 90.82% | Saved checkpoint | ETA: 6:39:41
Epoch 1/10 [2100/8305] | TA: 91.16% | Saved checkpoint | ETA: 6:39:12
Epoch 1/10 [2200/8305] | TA: 91.13% | Saved checkpoint | ETA: 6:38:47
Epoch 1/10 [2300/8305] | TA: 90.85% | Saved checkpoint | ETA: 6:38:21
Epoch 1/10 [2400/8305] | TA: 90.56% | Saved checkpoint | ETA: 6:37:52
Epoch 1/10 [2500/8305] | TA: 90.04% | Saved checkpoint | ETA: 6:37:25
Epoch 1/10 [2600/8305] | TA: 90.23% | Saved checkpoint | ETA: 6:36:56
Epoch 1/10 [2700/8305] | TA: 90.17% | Saved checkpoint | ETA: 6:36:28
Epoch 1/10 [2800/8305] | TA: 90.59% | Saved checkpoint | ETA: 6:36:00
Epoch 1/10 [2900/8305] | TA: 91.30% | Saved checkpoint | ETA: 6:35:31
Epoch 1/10 [3000/8305] | TA: 91.54% | Saved checkpoint | ETA: 6:35:03
Epoch 1/10 [3100/8305] | TA: 90.77% | Saved checkpoint | ETA: 6:34:33
Epoch 1/10 [3200/8305] | TA: 91.26% | Saved checkpoint | ETA: 6:34:01
Epoch 1/10 [3300/8305] | TA: 91.18% | Saved checkpoint | ETA: 6:33:32
Epoch 1/10 [3400/8305] | TA: 91.27% | Saved checkpoint | ETA: 6:33:02
Epoch 1/10 [3500/8305] | TA: 90.85% | Saved checkpoint | ETA: 6:32:33
Epoch 1/10 [3600/8305] | TA: 91.00% | Saved checkpoint | ETA: 6:32:05
Epoch 1/10 [3700/8305] | TA: 90.82% | Saved checkpoint | ETA: 6:31:35
Epoch 1/10 [3800/8305] | TA: 91.44% | Saved checkpoint | ETA: 6:31:07
Epoch 1/10 [3900/8305] | TA: 91.50% | Saved checkpoint | ETA: 6:30:39
Epoch 1/10 [4000/8305] | TA: 91.42% | Saved checkpoint | ETA: 6:30:11
Epoch 1/10 [4100/8305] | TA: 91.35% | Saved checkpoint | ETA: 6:29:42
Epoch 1/10 [4200/8305] | TA: 91.69% | Saved checkpoint | ETA: 6:29:11
Epoch 1/10 [4300/8305] | TA: 90.44% | Saved checkpoint | ETA: 6:28:43
Epoch 1/10 [4400/8305] | TA: 91.45% | Saved checkpoint | ETA: 6:28:14
Epoch 1/10 [4500/8305] | TA: 91.54% | Saved checkpoint | ETA: 6:27:46
Epoch 1/10 [4600/8305] | TA: 91.65% | Saved checkpoint | ETA: 6:27:15
Epoch 1/10 [4700/8305] | TA: 91.53% | Saved checkpoint | ETA: 6:26:45
Epoch 1/10 [4800/8305] | TA: 90.65% | Saved checkpoint | ETA: 6:26:17
Epoch 1/10 [4900/8305] | TA: 90.19% | Saved checkpoint | ETA: 6:25:48
Epoch 1/10 [5000/8305] | TA: 92.29% | Saved checkpoint | ETA: 6:25:19
Epoch 1/10 [5100/8305] | TA: 91.68% | Saved checkpoint | ETA: 6:24:50
Epoch 1/10 [5200/8305] | TA: 91.72% | Saved checkpoint | ETA: 6:24:22
Epoch 1/10 [5300/8305] | TA: 90.77% | Saved checkpoint | ETA: 6:23:53
Epoch 1/10 [5400/8305] | TA: 91.96% | Saved checkpoint | ETA: 6:23:24
Epoch 1/10 [5500/8305] | TA: 91.09% | Saved checkpoint | ETA: 6:22:55
Epoch 1/10 [5600/8305] | TA: 91.74% | Saved checkpoint | ETA: 6:22:26
Epoch 1/10 [5700/8305] | TA: 91.71% | Saved checkpoint | ETA: 6:21:57
Epoch 1/10 [5800/8305] | TA: 91.90% | Saved checkpoint | ETA: 6:21:28
Epoch 1/10 [5900/8305] | TA: 91.18% | Saved checkpoint | ETA: 6:20:58
Epoch 1/10 [6000/8305] | TA: 91.15% | Saved checkpoint | ETA: 6:20:28
Epoch 1/10 [6100/8305] | TA: 91.47% | Saved checkpoint | ETA: 6:19:59
Epoch 1/10 [6200/8305] | TA: 91.90% | Saved checkpoint | ETA: 6:19:29
Epoch 1/10 [6300/8305] | TA: 91.71% | Saved checkpoint | ETA: 6:19:00
Epoch 1/10 [6400/8305] | TA: 90.77% | Saved checkpoint | ETA: 6:18:31
Epoch 1/10 [6500/8305] | TA: 91.48% | Saved checkpoint | ETA: 6:18:01
Epoch 1/10 [6600/8305] | TA: 91.21% | Saved checkpoint | ETA: 6:17:32
Epoch 1/10 [6700/8305] | TA: 91.50% | Saved checkpoint | ETA: 6:17:02
Epoch 1/10 [6800/8305] | TA: 91.78% | Saved checkpoint | ETA: 6:16:33
Epoch 1/10 [6900/8305] | TA: 92.07% | Saved checkpoint | ETA: 6:16:04
Epoch 1/10 [7000/8305] | TA: 91.77% | Saved checkpoint | ETA: 6:15:34
Epoch 1/10 [7100/8305] | TA: 92.38% | Saved checkpoint | ETA: 6:15:05
Epoch 1/10 [7200/8305] | TA: 91.23% | Saved checkpoint | ETA: 6:14:35
Epoch 1/10 [7300/8305] | TA: 91.09% | Saved checkpoint | ETA: 6:14:06
Epoch 1/10 [7400/8305] | TA: 91.72% | Saved checkpoint | ETA: 6:13:37
Epoch 1/10 [7500/8305] | TA: 91.20% | Saved checkpoint | ETA: 6:13:07
Epoch 1/10 [7600/8305] | TA: 92.20% | Saved checkpoint | ETA: 6:12:38
Epoch 1/10 [7700/8305] | TA: 92.19% | Saved checkpoint | ETA: 6:12:08
Epoch 1/10 [7800/8305] | TA: 92.26% | Saved checkpoint | ETA: 6:11:38
