/home/bigbox/Projects/tokentango/.venv/lib/python3.13/site-packages/torch/nn/modules/transformer.py:382: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
TokenTango
CUDA available: True
Number of GPUs: 1
GPU 0: NVIDIA GeForce GTX 1080
  Memory: 8.51 GB
  CUDA Capability: 6.1
[DATA LOADING] Starting data load...
Loading existing tokenizer from data/bpe_tokenizer.json
new_labels
reliable    248006
fake        124403
Name: count, dtype: int64
0.5
[DATA LOADING] Completed in 584.98s
[DATA LOADING] train_data source_tokens shape=torch.Size([199044, 300]), test_data source_tokens shape=torch.Size([49762, 300])
[STAGE 1] MODEL_CHECKPOINT_PATH=train: Starting training from scratch...
[TRAIN] Starting training run: silly-tapir-52fc66
[TRAIN] Training set fraction: 0.6
[TRAIN] Optimizer: Adam, MLM: False
Epoch 1/5 [ 100/6220] | TA: 57.96% | Saved checkpoint | ETA: 1:07:27
Epoch 1/5 [ 200/6220] | TA: 58.30% | Saved checkpoint | ETA: 1:06:16
Epoch 1/5 [ 300/6220] | TA: 56.43% | Saved checkpoint | ETA: 1:05:45
Epoch 1/5 [ 400/6220] | TA: 61.05% | Saved checkpoint | ETA: 1:05:24
Epoch 1/5 [ 500/6220] | TA: 49.26% | Saved checkpoint | ETA: 1:05:11
Epoch 1/5 [ 600/6220] | TA: 71.28% | Saved checkpoint | ETA: 1:04:58
Epoch 1/5 [ 700/6220] | TA: 70.52% | Saved checkpoint | ETA: 1:04:46
Epoch 1/5 [ 800/6220] | TA: 73.93% | Saved checkpoint | ETA: 1:04:37
Epoch 1/5 [ 900/6220] | TA: 77.91% | Saved checkpoint | ETA: 1:04:26
Epoch 1/5 [1000/6220] | TA: 74.16% | Saved checkpoint | ETA: 1:04:17
Epoch 1/5 [1100/6220] | TA: 79.80% | Saved checkpoint | ETA: 1:04:06
Epoch 1/5 [1200/6220] | TA: 78.78% | Saved checkpoint | ETA: 1:03:53
Epoch 1/5 [1300/6220] | TA: 78.70% | Saved checkpoint | ETA: 1:03:39
