/home/bigbox/Projects/tokentango/.venv/lib/python3.13/site-packages/torch/nn/modules/transformer.py:382: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
TokenTango
CUDA available: True
Number of GPUs: 1
GPU 0: NVIDIA GeForce GTX 1080
  Memory: 8.51 GB
  CUDA Capability: 6.1
[DATA LOADING] Starting data load...
Loading existing tokenizer from data/bpe_tokenizer.json
new_labels
reliable    248006
fake        124403
Name: count, dtype: int64
0.5
[DATA LOADING] Completed in 588.20s
[DATA LOADING] train_data source_tokens shape=torch.Size([199044, 300]), test_data source_tokens shape=torch.Size([49762, 300])
[STAGE 1] MODEL_CHECKPOINT_PATH=train: Starting training from scratch...
[TRAIN] Starting training run: cheery-platypus-3b012a
[TRAIN] Training set fraction: 0.6
[TRAIN] Optimizer: SGD, MLM: False
Epoch 1/5 [ 100/6220] | TA: 57.96% | Saved checkpoint | ETA: 1:04:51
Epoch 1/5 [ 200/6220] | TA: 58.00% | Saved checkpoint | ETA: 1:04:34
Epoch 1/5 [ 300/6220] | TA: 58.30% | Saved checkpoint | ETA: 1:04:20
Epoch 1/5 [ 400/6220] | TA: 57.01% | Saved checkpoint | ETA: 1:04:03
Epoch 1/5 [ 500/6220] | TA: 58.08% | Saved checkpoint | ETA: 1:03:49
Epoch 1/5 [ 600/6220] | TA: 58.46% | Saved checkpoint | ETA: 1:03:37
Epoch 1/5 [ 700/6220] | TA: 59.65% | Saved checkpoint | ETA: 1:03:26
Epoch 1/5 [ 800/6220] | TA: 59.55% | Saved checkpoint | ETA: 1:03:17
Epoch 1/5 [ 900/6220] | TA: 58.24% | Saved checkpoint | ETA: 1:03:07
Epoch 1/5 [1000/6220] | TA: 58.66% | Saved checkpoint | ETA: 1:02:55
Epoch 1/5 [1100/6220] | TA: 57.82% | Saved checkpoint | ETA: 1:02:42
Epoch 1/5 [1200/6220] | TA: 58.08% | Saved checkpoint | ETA: 1:02:27
Epoch 1/5 [1300/6220] | TA: 57.70% | Saved checkpoint | ETA: 1:02:12
Epoch 1/5 [1400/6220] | TA: 57.30% | Saved checkpoint | ETA: 1:01:56
Epoch 1/5 [1500/6220] | TA: 57.86% | Saved checkpoint | ETA: 1:01:43
Epoch 1/5 [1600/6220] | TA: 57.56% | Saved checkpoint | ETA: 1:01:31
Epoch 1/5 [1700/6220] | TA: 58.82% | Saved checkpoint | ETA: 1:01:19
Epoch 1/5 [1800/6220] | TA: 57.34% | Saved checkpoint | ETA: 1:01:08
Epoch 1/5 [1900/6220] | TA: 58.02% | Saved checkpoint | ETA: 1:00:55
Epoch 1/5 [2000/6220] | TA: 58.26% | Saved checkpoint | ETA: 1:00:41
Epoch 1/5 [2100/6220] | TA: 57.94% | Saved checkpoint | ETA: 1:00:28
Epoch 1/5 [2200/6220] | TA: 57.82% | Saved checkpoint | ETA: 1:00:16
Epoch 1/5 [2300/6220] | TA: 56.81% | Saved checkpoint | ETA: 1:00:03
Epoch 1/5 [2400/6220] | TA: 58.44% | Saved checkpoint | ETA: 0:59:52
Epoch 1/5 [2500/6220] | TA: 58.66% | Saved checkpoint | ETA: 0:59:40
Epoch 1/5 [2600/6220] | TA: 59.51% | Saved checkpoint | ETA: 0:59:28
Epoch 1/5 [2700/6220] | TA: 58.38% | Saved checkpoint | ETA: 0:59:16
Epoch 1/5 [2800/6220] | TA: 57.48% | Saved checkpoint | ETA: 0:59:05
Epoch 1/5 [2900/6220] | TA: 57.34% | Saved checkpoint | ETA: 0:58:53
Epoch 1/5 [3000/6220] | TA: 57.62% | Saved checkpoint | ETA: 0:58:41
Epoch 1/5 [3100/6220] | TA: 58.22% | Saved checkpoint | ETA: 0:58:29
Epoch 1/5 [3200/6220] | TA: 58.66% | Saved checkpoint | ETA: 0:58:17
Epoch 1/5 [3300/6220] | TA: 59.18% | Saved checkpoint | ETA: 0:58:05
Epoch 1/5 [3400/6220] | TA: 57.60% | Saved checkpoint | ETA: 0:57:53
Epoch 1/5 [3500/6220] | TA: 58.58% | Saved checkpoint | ETA: 0:57:41
Epoch 1/5 [3600/6220] | TA: 57.34% | Saved checkpoint | ETA: 0:57:28
Epoch 1/5 [3700/6220] | TA: 58.80% | Saved checkpoint | ETA: 0:57:15
Epoch 1/5 [3800/6220] | TA: 59.45% | Saved checkpoint | ETA: 0:57:03
Epoch 1/5 [3900/6220] | TA: 59.43% | Saved checkpoint | ETA: 0:56:51
Epoch 1/5 [4000/6220] | TA: 57.92% | Saved checkpoint | ETA: 0:56:38
Epoch 1/5 [4100/6220] | TA: 56.87% | Saved checkpoint | ETA: 0:56:26
Epoch 1/5 [4200/6220] | TA: 57.80% | Saved checkpoint | ETA: 0:56:14
Epoch 1/5 [4300/6220] | TA: 57.60% | Saved checkpoint | ETA: 0:56:01
Epoch 1/5 [4400/6220] | TA: 58.28% | Saved checkpoint | ETA: 0:55:49
Epoch 1/5 [4500/6220] | TA: 58.78% | Saved checkpoint | ETA: 0:55:36
Epoch 1/5 [4600/6220] | TA: 56.81% | Saved checkpoint | ETA: 0:55:24
Epoch 1/5 [4700/6220] | TA: 57.07% | Saved checkpoint | ETA: 0:55:12
Epoch 1/5 [4800/6220] | TA: 59.67% | Saved checkpoint | ETA: 0:55:00
Epoch 1/5 [4900/6220] | TA: 57.86% | Saved checkpoint | ETA: 0:54:48
Epoch 1/5 [5000/6220] | TA: 58.76% | Saved checkpoint | ETA: 0:54:36
Epoch 1/5 [5100/6220] | TA: 58.08% | Saved checkpoint | ETA: 0:54:24
Epoch 1/5 [5200/6220] | TA: 56.97% | Saved checkpoint | ETA: 0:54:11
Epoch 1/5 [5300/6220] | TA: 57.92% | Saved checkpoint | ETA: 0:53:59
Epoch 1/5 [5400/6220] | TA: 58.18% | Saved checkpoint | ETA: 0:53:47
Epoch 1/5 [5500/6220] | TA: 57.86% | Saved checkpoint | ETA: 0:53:35
Epoch 1/5 [5600/6220] | TA: 59.81% | Saved checkpoint | ETA: 0:53:22
Epoch 1/5 [5700/6220] | TA: 58.70% | Saved checkpoint | ETA: 0:53:09
Epoch 1/5 [5800/6220] | TA: 56.83% | Saved checkpoint | ETA: 0:52:57
Epoch 1/5 [5900/6220] | TA: 58.06% | Saved checkpoint | ETA: 0:52:44
Epoch 1/5 [6000/6220] | TA: 58.62% | Saved checkpoint | ETA: 0:52:32
Epoch 1/5 [6100/6220] | TA: 58.08% | Saved checkpoint | ETA: 0:52:20
Epoch 1/5 [6200/6220] | TA: 58.94% | Saved checkpoint | ETA: 0:52:07
Epoch 1/5 completed | Loss: 0.4727 | MLM Loss: 0.0000
Epoch 2/5 [ 100/6220] | TA: 59.69% | Saved checkpoint | ETA: 2 days, 6:03:24
Epoch 2/5 [ 200/6220] | TA: 58.22% | Saved checkpoint | ETA: 1 day, 3:28:54
Epoch 2/5 [ 300/6220] | TA: 58.90% | Saved checkpoint | ETA: 18:33:48
Epoch 2/5 [ 400/6220] | TA: 58.96% | Saved checkpoint | ETA: 14:05:27
Epoch 2/5 [ 500/6220] | TA: 58.20% | Saved checkpoint | ETA: 11:24:06
Epoch 2/5 [ 600/6220] | TA: 56.37% | Saved checkpoint | ETA: 9:36:25
Epoch 2/5 [ 700/6220] | TA: 58.06% | Saved checkpoint | ETA: 8:19:24
Epoch 2/5 [ 800/6220] | TA: 57.21% | Saved checkpoint | ETA: 7:21:33
Epoch 2/5 [ 900/6220] | TA: 57.88% | Saved checkpoint | ETA: 6:36:27
Epoch 2/5 [1000/6220] | TA: 58.52% | Saved checkpoint | ETA: 6:00:22
Epoch 2/5 [1100/6220] | TA: 58.20% | Saved checkpoint | ETA: 5:30:48
Epoch 2/5 [1200/6220] | TA: 57.09% | Saved checkpoint | ETA: 5:06:08
Epoch 2/5 [1300/6220] | TA: 57.68% | Saved checkpoint | ETA: 4:45:14
Epoch 2/5 [1400/6220] | TA: 58.00% | Saved checkpoint | ETA: 4:27:16
Epoch 2/5 [1500/6220] | TA: 57.66% | Saved checkpoint | ETA: 4:11:40
Epoch 2/5 [1600/6220] | TA: 58.38% | Saved checkpoint | ETA: 3:57:59
Epoch 2/5 [1700/6220] | TA: 56.35% | Saved checkpoint | ETA: 3:45:53
Epoch 2/5 [1800/6220] | TA: 57.56% | Saved checkpoint | ETA: 3:35:07
Epoch 2/5 [1900/6220] | TA: 57.64% | Saved checkpoint | ETA: 3:25:28
Epoch 2/5 [2000/6220] | TA: 58.18% | Saved checkpoint | ETA: 3:16:44
Epoch 2/5 [2100/6220] | TA: 57.52% | Saved checkpoint | ETA: 3:08:50
Epoch 2/5 [2200/6220] | TA: 58.30% | Saved checkpoint | ETA: 3:01:37
Epoch 2/5 [2300/6220] | TA: 57.38% | Saved checkpoint | ETA: 2:55:01
Epoch 2/5 [2400/6220] | TA: 57.94% | Saved checkpoint | ETA: 2:48:57
Epoch 2/5 [2500/6220] | TA: 58.10% | Saved checkpoint | ETA: 2:43:22
Epoch 2/5 [2600/6220] | TA: 58.44% | Saved checkpoint | ETA: 2:38:11
Epoch 2/5 [2700/6220] | TA: 58.42% | Saved checkpoint | ETA: 2:33:22
Epoch 2/5 [2800/6220] | TA: 58.82% | Saved checkpoint | ETA: 2:28:53
Epoch 2/5 [2900/6220] | TA: 57.94% | Saved checkpoint | ETA: 2:24:41
Epoch 2/5 [3000/6220] | TA: 58.00% | Saved checkpoint | ETA: 2:20:46
Epoch 2/5 [3100/6220] | TA: 59.06% | Saved checkpoint | ETA: 2:17:05
Epoch 2/5 [3200/6220] | TA: 58.86% | Saved checkpoint | ETA: 2:13:36
Epoch 2/5 [3300/6220] | TA: 58.12% | Saved checkpoint | ETA: 2:10:20
Epoch 2/5 [3400/6220] | TA: 57.92% | Saved checkpoint | ETA: 2:07:15
